,RoundIndex,VoterID,Util1,Util2,Util3,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref1_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
3932,4682,A1Y2276VR3MBUA,20,10,0,1007,3,3,2,1,325,341,340,15,3,32,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
3933,4684,LNDgIjJKLftihbr,20,10,0,1007,3,2,3,1,280,415,311,20,2,2,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
3934,4685,LNDgIjJKLftihbr,20,10,0,1007,3,1,2,3,313,365,328,10,2,3,1,2,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
3935,4686,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,329,347,330,0,3,4,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3936,4687,LNDgIjJKLftihbr,20,10,0,1007,3,3,2,1,325,341,340,15,3,5,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
3937,4688,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,318,353,335,0,1,6,1,2,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3938,4689,A1I4ATPNZBOA16,20,10,0,1007,3,1,2,3,290,409,307,10,2,12,1,2,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
3939,4690,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,269,378,359,0,2,7,1,3,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3940,4691,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,323,343,340,0,3,8,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3941,4692,LNDgIjJKLftihbr,20,10,0,1007,3,3,2,1,313,365,328,10,2,9,1,2,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
