,RoundIndex,VoterID,Util1,Util2,Util3,NumberOfCandidates,NumVotes,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref1_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
4203,10565,A3779AAVHVT6EQ,20,10,0,3,1007,1,2,3,325,341,340,10,2,19,1,2,325,341,340,341,340.0,325,1.0,15.0,16,-16,1,-15,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,16,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
4204,10566,AHTJJ0KDJ6ZIA,20,10,0,3,1006,3,1,2,334,336,335,10,3,8,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4205,10567,A28TIENUWLMMIP,20,10,0,3,1007,3,1,2,325,341,340,10,3,16,1,1,340,325,341,341,340.0,325,1.0,15.0,16,15,-16,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,16,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4206,10568,A3779AAVHVT6EQ,20,10,0,3,1007,3,1,2,274,368,364,0,3,20,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4207,10569,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,3,2,275,366,365,0,2,9,1,3,275,365,366,366,365.0,275,1.0,90.0,91,-90,-1,-91,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,91,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4208,10570,A1CY01G7686ORZ,20,10,0,3,1007,3,2,1,323,343,340,10,3,12,1,1,340,343,323,343,340.0,323,3.0,17.0,20,-3,20,17,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,3,0,20,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4209,10571,A3779AAVHVT6EQ,20,10,0,3,1007,3,2,1,322,344,340,10,3,21,1,1,340,344,322,344,340.0,322,4.0,18.0,22,-4,22,18,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,4,0,22,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4210,10572,A28TIENUWLMMIP,20,10,0,3,1006,3,1,2,334,336,335,10,3,17,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4211,10573,AHTJJ0KDJ6ZIA,20,10,0,3,1007,2,3,1,280,415,311,20,2,10,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,1.0,2.0,2.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
4212,10574,AZ5ZYUCAQ0XDL,20,10,0,3,1007,1,2,3,323,343,340,10,2,19,1,2,323,343,340,343,340.0,323,3.0,17.0,20,-20,3,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,20,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
4213,10575,A3779AAVHVT6EQ,20,10,0,3,1007,3,1,2,323,343,340,0,3,22,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4214,10576,A1CY01G7686ORZ,20,10,0,3,1007,1,3,2,318,353,335,0,3,13,1,2,318,335,353,353,335.0,318,18.0,17.0,35,-17,-18,-35,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,35,18,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4215,10577,A28TIENUWLMMIP,20,10,0,3,1007,3,1,2,274,368,364,0,3,18,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4216,10578,A3779AAVHVT6EQ,20,10,0,3,1007,2,3,1,280,415,311,20,2,23,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,1.0,2.0,2.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
4217,10579,A3G8OON0TDPN1E,20,10,0,3,1007,2,3,1,280,415,311,20,2,16,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,1.0,2.0,2.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
4218,10580,A28TIENUWLMMIP,20,10,0,3,1007,3,1,2,269,378,359,0,3,19,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
