,NumberOfCandidates,Util1,Util2,Util3,NumVotes,GameIndexInSession,SessionIDX,VoterID,Pref1,Pref2,Pref3,Action,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,RoundIndex,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref3_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
6592,3,20,10,0,1010,20,1,KnhXvQ,2,3,1,3,361,324,324,6593,2,324,324,361,361,324.0,324,37.0,0.0,37,0,-37,-37,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,37,37,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6593,3,20,10,0,1009,0,1,7PfxgA,1,3,2,1,561,225,222,6594,1,561,222,225,561,225.0,222,336.0,3.0,339,339,-3,336,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,339,336,-2.0,1.0,-1.0,0.0,-2.0,-1.0
6594,3,20,10,0,1009,29,1,P5L2Pk,3,1,2,2,631,252,125,6595,3,125,631,252,631,252.0,125,379.0,127.0,506,-506,379,-127,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,506,0,379,2.0,-1.0,1.0,-2.0,0.0,-1.0
6595,3,20,10,0,1009,21,1,KnhXvQ,1,2,3,1,409,307,292,6596,1,409,307,292,409,307.0,292,102.0,15.0,117,102,15,117,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,102,117,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6596,3,20,10,0,1009,6,1,VOm6nZ,2,1,3,2,340,335,333,6597,1,335,340,333,340,335.0,333,5.0,2.0,7,-5,7,2,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,5,0,7,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6597,3,20,10,0,1010,17,1,OTXxWg,2,3,1,3,521,390,98,6598,2,390,98,521,521,390.0,98,131.0,292.0,423,292,-423,-131,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,131,423,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6598,3,20,10,0,1009,22,1,KnhXvQ,2,1,3,2,362,324,322,6599,1,324,362,322,362,324.0,322,38.0,2.0,40,-38,40,2,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,38,0,40,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6599,3,20,10,0,1009,18,1,OTXxWg,2,1,3,2,475,355,178,6600,1,355,475,178,475,355.0,178,120.0,177.0,297,-120,297,177,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,120,0,297,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6600,3,20,10,0,1008,23,1,KnhXvQ,3,1,2,1,337,336,334,6601,2,334,337,336,337,336.0,334,1.0,2.0,3,-3,1,-2,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,3,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
6601,3,20,10,0,1009,19,1,OTXxWg,1,2,3,1,450,446,112,6602,1,450,446,112,450,446.0,112,4.0,334.0,338,4,334,338,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,4,338,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6602,3,20,10,0,1009,24,1,KnhXvQ,1,3,2,1,337,337,334,6603,1,337,334,337,337,337.0,334,0.0,3.0,3,3,-3,0,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,3,0,-2.0,1.0,-1.0,0.0,-2.0,-1.0
6603,3,20,10,0,1010,25,1,KnhXvQ,3,2,1,3,405,304,300,6604,1,300,304,405,405,304.0,300,101.0,4.0,105,-4,-101,-105,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,105,101,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6604,3,20,10,0,1009,16,1,K0hxMJ,3,1,2,3,631,252,125,6605,1,125,631,252,631,252.0,125,379.0,127.0,506,-506,379,-127,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,506,0,379,2.0,-1.0,1.0,-2.0,0.0,-1.0
6605,3,20,10,0,1009,1,1,K0hxMJ,3,2,1,2,631,252,125,6606,2,125,252,631,631,252.0,125,379.0,127.0,506,-127,-379,-506,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,506,379,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6606,3,20,10,0,1009,20,1,OTXxWg,3,1,2,2,344,341,323,6607,3,323,344,341,344,341.0,323,3.0,18.0,21,-21,3,-18,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,21,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
6607,3,20,10,0,1009,26,1,KnhXvQ,3,2,1,3,475,356,177,6608,1,177,356,475,475,356.0,177,119.0,179.0,298,-179,-119,-298,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,298,119,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6608,3,20,10,0,1009,21,1,OTXxWg,3,2,1,3,410,307,291,6609,1,291,307,410,410,307.0,291,103.0,16.0,119,-16,-103,-119,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,119,103,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6609,3,20,10,0,1009,27,1,KnhXvQ,1,3,2,1,347,331,330,6610,1,347,330,331,347,331.0,330,16.0,1.0,17,17,-1,16,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,17,16,-2.0,1.0,-1.0,0.0,-2.0,-1.0
