,VoterID,Util1,Util2,Util3,Util4,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,Pref4,VotesCand1PreVote,VotesCand2PreVote,RoundIndex,VotesCand3PreVote,VotesCand4PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesPref4PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,VotesFourth_poll,GAP14_poll,GAP24_poll,GAP34_poll,GAP14_pref_poll,GAP24_pref_poll,GAP34_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref4_pos,Pos3_pref,Pref2_pos,Pos4_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,GAPL4_Pref_poll,Pos12,Pos23,Pos13,Pos14,Pos24,Pos34,PosL1,PosL2,PosL3,PosL4
1678,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,1,2,4,241,278,1678,276,211,5,3,26,1,1,276,241,278,211,278,276.0,241,2.0,35.0,37,35,-37,-2,211,67,65.0,30,65,30,67,2.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,13,LB,2,37,0,67,-1.0,2.0,1.0,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-3.0
1679,A9HQ3E0F2AGVO,15,10,5,0,1004,4,1,3,4,2,231,310,1679,232,230,0,1,27,1,1,231,232,230,310,310,232.0,231,78.0,1.0,79,-1,2,1,230,80,2.0,1,-79,-78,-80,3.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,21,CMP,79,78,80,0,1.0,-2.0,-1.0,2.0,1.0,3.0,-2.0,-1.0,-3.0,0.0
1680,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,1,2,4,235,298,1680,268,205,5,3,28,1,1,268,235,298,205,298,268.0,235,30.0,33.0,63,33,-63,-30,205,93,63.0,30,63,30,93,2.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,13,LB,30,63,0,93,-1.0,2.0,1.0,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-3.0
1681,A9HQ3E0F2AGVO,15,10,5,0,1006,4,4,1,3,2,249,263,1681,250,243,0,4,29,1,1,243,249,250,263,263,250.0,249,13.0,1.0,14,-6,-1,-7,243,20,7.0,6,-20,-14,-13,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,24,SCMP,20,14,13,0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0
1682,A9HQ3E0F2AGVO,15,10,5,0,1007,4,4,1,3,2,183,460,1682,184,179,0,4,30,1,1,179,183,184,460,460,184.0,183,276.0,1.0,277,-4,-1,-5,179,281,5.0,4,-281,-277,-276,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,24,SCMP,281,277,276,0,1.0,1.0,2.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0
1683,A9HQ3E0F2AGVO,15,10,5,0,1006,4,3,1,2,4,180,462,1683,184,179,5,3,31,1,1,184,180,462,179,462,184.0,180,278.0,4.0,282,4,-282,-278,179,283,5.0,1,5,1,283,2.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,13,LB,278,282,0,283,-1.0,2.0,1.0,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-3.0
1684,A2GN5JHI8B2SO7,15,10,5,0,1006,4,1,4,2,3,234,270,1684,268,233,5,4,3,1,2,234,233,270,268,270,268.0,234,2.0,34.0,36,1,-37,-36,233,37,35.0,1,-34,-35,2,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,17,LB,36,37,0,2,-1.0,3.0,2.0,1.0,2.0,-1.0,-2.0,-3.0,0.0,-1.0
1685,A9HQ3E0F2AGVO,15,10,5,0,1004,4,3,4,1,2,231,310,1685,232,230,0,3,32,1,1,232,230,231,310,310,232.0,231,78.0,1.0,79,2,-1,1,230,80,2.0,1,-78,-80,-79,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,20,SLB,78,80,79,0,-2.0,1.0,-1.0,1.0,3.0,2.0,-1.0,-3.0,-2.0,0.0
1686,A2GN5JHI8B2SO7,15,10,5,0,1007,4,3,4,1,2,232,279,1686,264,231,0,2,4,1,4,264,231,232,279,279,264.0,232,15.0,32.0,47,33,-1,32,231,48,33.0,1,-15,-48,-47,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,20,SLB,15,48,47,0,-2.0,1.0,-1.0,1.0,3.0,2.0,-1.0,-3.0,-2.0,0.0
1687,A2GN5JHI8B2SO7,15,10,5,0,1007,4,2,1,4,3,232,279,1687,264,231,15,2,5,1,1,279,232,231,264,279,264.0,232,15.0,32.0,47,47,1,48,231,48,33.0,1,15,-32,-33,1.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,5,TRT,0,47,48,15,-2.0,-1.0,-3.0,-1.0,1.0,2.0,0.0,-2.0,-3.0,-1.0
1688,A2GN5JHI8B2SO7,15,10,5,0,1007,4,4,3,2,1,236,322,1688,242,206,5,2,6,1,3,206,242,322,236,322,242.0,236,80.0,6.0,86,-36,-80,-116,206,116,36.0,30,-30,6,86,4.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,16,LB,116,80,0,86,2.0,1.0,3.0,1.0,-1.0,-2.0,-3.0,-1.0,0.0,-2.0
1689,A2GN5JHI8B2SO7,15,10,5,0,1005,4,3,1,2,4,182,458,1689,183,181,5,2,7,1,3,183,182,458,181,458,183.0,182,275.0,1.0,276,1,-276,-275,181,277,2.0,1,2,1,277,2.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,13,LB,275,276,0,277,-1.0,2.0,1.0,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-3.0
1690,A2GN5JHI8B2SO7,15,10,5,0,1007,4,1,3,2,4,217,330,1690,248,211,5,2,8,1,3,217,248,330,211,330,248.0,217,82.0,31.0,113,-31,-82,-113,211,119,37.0,6,6,37,119,3.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,15,LB,113,82,0,119,1.0,1.0,2.0,-1.0,-2.0,-3.0,-2.0,-1.0,0.0,-3.0
